昵称,用户名,Xbox ID,第一居住地,来源,入服时间,小号,备注
砂雪,sayuki0627,2535422148673616,柠萌本町区柠萌町,-,,,
砂雪2,sayuki0627xx,2535457906497937,柠萌本町区柠萌町,砂雪,,1,
雨夜,yuyeLin0323,2535452160682936,桃川密境区画蝶湖,砂雪,,,
佳雨,JerryLin0321,2535410856488543,桃川密境区画蝶湖,雨夜,,1,
豌豆,BuckeyePea9,2535449750375408,桃川密境区五六埠,雨夜,,,
豌豆2,Vendor9991,2535464556179919,桃川密境区五六埠,豌豆,,1,
辽洪,Hong Land,2535456864540791,容州区容海咀,,,,
辽洪2,Claris Eric,2535434305046142,容州区容海咀,辽洪,,1,
星球,FaturePlanets,2535440407855206,容州区容州中心,辽洪,,,
星球2,FPSChannel,2535450070861823,容州区容州中心,星球,,1,
星球3,FPSTechnologies,2535420707487166,容州区容州中心,星球,,1,
惑星,WakuseiMirai,2535457368912638,容州区容州中心,星球,2022/11/23,1,
妍子,AkagiYui,2535460983019902,柠萌本町区柠萌町,砂雪,,,
长歌,Changgetaoyun,2535407838073663,桃川密境区画蝶湖,雨夜,,,
歆秋,rainy7979LXQ,2535406628801376,歆州区歆州中心,雨夜,,,
彩虹,LRSkittles0122,2535465380518034,桃川密境区麓湖,雨夜,,,
淘淘,LQXingan,2535460806522017,桃川密境区浪淘沙,鱼调,,,
鱼调,SnaggedBird5805,2535438121370964,桃川密境区瑞江,雨夜,,,已退服
教父,CanineEgg415699,2535446678066318,柠萌本町区晨岛,鱼调,,,已退服
秋雪,Shizuku2048,2535425153432325,柳田区初岚,老虎,,,
虎虎,DF4D4402,2535447002364551,桃川区茶溪,鱼调,,,
池州,CZMTR,2535439794114754,容州区西原,鱼调,,,
炭省,TamtsinCh,2535424267261729,桃川密境区龙门关,鱼调,,,
橘耀,Jvyao,2535406646450139,桃川密境区龙门关,虎虎,,,
企鹅,penguins LD,2535458627996059,柳田区桦溪,鱼调,,,
乱码,Gcfxgfzsd666,2535445835346271,千里石塘区瀛洲,鱼调,,,
源源,Equation114514,2535440661918984,千里石塘区瀛洲,乱码,,,
七杰,TidalTrack80925,2535430517189146,西湖新区,鱼调,,,
七杰1,YuzhangQijie,2535449302575748,西湖新区,七杰,,1,
雨酱,ArcPatient,2535440253444012,西湖新区长安,雨夜,,,
雨酱2,ArcUnpatient,2535443588240986,西湖新区长安,雨酱,,1,
雨酱3,ArcUnPatience,2535430539392187,西湖新区长安,雨酱,2023/4/10,1,
小白,Litt1eBai,2535447605399373,仙狐列岛区仙狐本岛,,,,
夏炽,SUR xiachi,2535454354399069,容州区容州中心,星球,,,
夏炽2,SURXFLAME,2535434535963956,容州区容州中心,夏炽,,1,
千雨,silend6771,2535471069207519,容州区容州中心,辽洪,,,
超人,SupremeMyth3380,2535466965736122,容州区三山,辽洪,,,
十月,EXC October,2535458827160100,容州区西原,辽洪,,,
心安,Xinannaive233,2535467553708063,容州区西原,辽洪,,,
莎莎,KeleErika,2535437812888557,桃川密境区墨染,,,,
星昼,SternMender7177,2535457611999923,容州区西原,十月,,,
繁花,thanksjiuer92,2535415120482536,大宁区大宁城,辽洪,,,
爱米,BlitheWings3896,2535468349785379,容州区容海咀,辽洪,,,
赤霄,chixiaobuxihuan,2535440858979516,万里长沙区南浦渡,虎虎,,,
摩卡,Akanata6120,2535411013467241,桃川密境区瑞江,鱼调,,,
笑面虎,HH xiaomianhu,2535432376543762,,辽洪,,,
铁总,NumberSpider144,2535436848955266,千里石塘区瀛洲,乱码,,,
空元,KongyuanQAQ,2535429967229826,容州区容州中心,辽洪,,,
雪菜,YUKI SETSUNA672,2535425461216958,容州区容州中心,,,,
阪环,HiaceEmergency,2535473760467590,柳田区柳田关,鱼调,,,
dst,dreamskyt13,2535460920711064,千里石塘区瀛洲,乱码,,,
短腿,DUTU250,2535435622873044,容州区,辽洪,,,
236,rgzz236,2535471393983808,容州区万花涧北,辽洪,,,
归疚,guijiu520,2535454264060760,容州区,星球,,,
小七,yunluomox,2535440989508980,容州区,星球,,,
无名,Galaxy1760,2535407978623708,大宁区大宁城,繁花,,,
无名2,wuming0118,2535471124303677,大宁区大宁城,无名,,1,
铁总,Numberspide,2535412027626906,千里石塘区瀛洲,乱码,,,
铁总2,Ragedwhr,2535445604715531,千里石塘区瀛洲,铁总,,1,
陌辰,laoxianyu1029,2535443562085240,容州区秦川,星球,,,
陌辰2,meteorMOCHENG,2535470447402122,容州区秦川,,,1,
芒果菌,MC mango4062,2535405440511853,容州区,辽洪,,,
派派,Roaringrhythm,2535445773235419,千里石塘区瀛洲,辽洪,,,
史蒂夫,Super Steve MC1,2535427979034170,容州区,星球,,,
史蒂夫2,Super Steve MC2,2535460317848824,容州区,史蒂夫,2022/8/24,1,
,DistinctLily732,2535463803667636,,,,,
,TD56565,2535421656581952,,,,,
邬鹜,dcyy0,2535436522318855,容州区秦川,陌辰,,,
七七,yt776styjsu,2535444699381588,西湖新区长安,雨酱,,,
尤竹,zhouyihao7209,2535411591030980,容州区秦川,陌辰,,,
,qianxue1024555,2535440470144482,,,,,
tom,HumanoidGecko98,2535411351945574,,,2023/7/5,,
lostego,lostegoist0,2535427507968164,,,,,
,ManyDiagram4894,2535431124453345,,,,,
元夕,yuanxi6091,2535435217747372,容州区,星球,,,
凉菜,Mr Liangcai,2535473250595930,容州区白上,辽洪,,,
凉菜2,Dr LiangCai,2535419401495467,容州区白上,凉菜,2022/8/23,1,
Ryx,Ryxiate,2535461459281115,西湖新区延光,雨夜,,1,
松鼠,AzSquirrelJQX,2535447542401763,西湖新区延光,雨夜,,,
笑猫,Smilecat8856,2535441519376220,西部地方望海,企鹅,2022/6/8,,
轩,Xuan4931,2535412285107193,,,2022/7/3,,
慷慨,PolarMedusa7909,2535428781762852,,,2022/7/22,,
,Hydrogen0986,2535421207054989,,,2022/7/27,,
鱼木,yumu0716,2535458308121890,柳田区友谊,,2022/7/27,,
小绿,DazzlingSumo500,2535462891765700,下界,星昼,2022/8/18,,
,DKZ53,2535426935321041,,,2022/8/25,,
钟神秀,VeryCheetah3946,2535422369724835,容州区秦川,辽洪,2022/10/25,,
葛尔辟,yiqixizi,2535435891771660,容州区腕湖,辽洪,2022/12/6,,
脖子,JURASSIC SCP,2535422748516217,容州区腕湖,葛尔辟,2022/12/6,,
孤城,StockyTea779925,2535435602832951,容州区腕湖,葛尔辟,2022/12/6,,
零序,lingxu4399,2535454803520808,,,2022/12/7,,
病娇,HandsomePuppy90,2535445859848607,西部地方沈都五号城,辽洪,2022/12/9,,
苦力怕,GOODRAGE6304,2535420992542516,,,2022/12/11,,
某狼,lang jiang1529,2535437326738808,,辽洪,2022/12/11,,
予默,Yumo121,2535452621839826,,,2022/12/16,,
恩屿,enyu123,2535415815628671,容州区腕湖,葛尔辟,2022/12/16,,
萝卜,CagyCello354722,2535408612587287,容州区北沙,辽洪,2022/12/19,,
章鱼,LegalThunder694,2535470042657929,,,2022/12/20,,
幽羽,Roarmoon1807,2535455671504291,,,2022/12/21,,
,ShowingHydra103,2535413654548524,容州区,归疚,2022/12/31,,
奇奇,EX qiqi,2535418328927050,万里长沙区海之角,辽洪,2023/1/1,,
,Sunmong,2535441881916787,万里长沙区海之角,奇奇,2023/1/5,,
待定,MiddleHealer994,2535417505007230,容州区北沙,辽洪,2023/1/9,,
鱼干,XMLfishmeow,2535466318806104,桃川密境区丹波桥,,2023/1/9,,
酒酒,w1nEn1w,2535465741065824,,,2023/1/10,,
白茶,Wh1tEaeT,2535419437163989,,,2023/1/11,,
海神,bilibiliup2333,2535451313817086,西部地方亥原,辽洪,2023/1/14,,
纱雾,SparkyNutria165,2535470975366382,西部地方亥原,辽洪,2023/1/14,,
仙君,CagyAmoeba45844,2535470052903454,西部地方亥原,纱雾,2023/1/14,,
小木剑,FreckledEwe1347,2535423755148557,高轮区高轮西,辽洪,2023/1/18,,
无奈,Darmiveglia1,2535432347726588,高轮区高轮西,辽洪,,,
小冰,xiaobing6441,2535439426563825,,,2023/1/19,,
,Circiziberi,2535438153090732,,,,,
,CursingBee77114,2535438967907765,,,,,
,Sun Anyuan,2535469658694187,,,2023/1/30,,
,RegalGull78159,2535442106834257,,,2023/1/30,,
鬼谷子,guiguzi11,2535411269466311,,,2023/2/1,,
文陆,WenLu24,2535458868776057,,,2023/2/7,,
,LostStellar,2535409378849097,西湖新区立春,雨夜,2023/2/16,,
光雨,ExactGraph36562,2535412574537441,,,2023/2/17,,
,SeiteFuge284127,2535451784708054,,,2023/2/28,,
无藏,WuZang7653,2535412212315358,西湖新区昭宁,雨夜,2023/3/29,,
路过,eexrbhxrol,2535465656915819,,,2023/4/4,,
,qizai3161,2535443155716159,,,2023/4/5,,
,Lyzero6003,2535443432862977,,,2023/4/14,,
夏柔安,sweetcat5665,2535453402633592,,,2023/4/16,,
吉祥,ShakyPanda04452,2535434418470750,,,2023/4/19,,
,Rayshow116,2535445364275302,,辽洪,2023/5/29,,
,PropheticXZ,2535459359238235,,,2023/6/10,,
,dingzhen50223,2535429303365480,容州区西原,十月,2023/6/17,,
流年,liunian11451,2535422531127604,大宁区大宁南,辽洪,2023/6/26,,
俗万,FairyYia114511,2535406542870610,大宁区大宁南,流年,2023/6/28,,
,OGoath1,2535426371561021,,,2023/7/2,,
夏雨,mianyang3333,2535406752487365,容州区西原,十月,2023/7/2,,
星野爱,shawu666888,2535443139141152,,辽洪,2023/7/5,,
,yaruo0,2535426805740798,大宁区大宁南,俗万,2023/7/5,,
,Lishouming2003,2535425414845883,,,2023/7/5,,
随缘,anerosol,2535453791678571,,辽洪,2023/7/5,,
蓝瞳沫,Mu Nan Han Xue,2535429999378889,,辽洪,2023/7/5,,
薄片,SliverWRY,2535462760757220,,辽洪,2023/7/6,1,
空调,kng da,2535440667330981,,,2023/7/6,,
,hlaoxu,2535437146518900,,,2023/7/7,,
,shiguangyz,2535417137824384,,,2023/7/8,,
,ClosedSum994684,2535407775162206,,,2023/7/26,,
大喷菇,dapenggu9999,2535473079267935,千里石塘区耕景,虎虎,2023/7/26,,
,the Baka Cirno,2535428423241758,,虎虎,2023/8/1,,
允酱,BaggyMink550079,2535418190388895,容州区万花涧,奇奇,2023/8/14,,
夕时,Camelialialia,2535408724850010,,,,,
,skashow,2535405380800221,,,,,
从开,stranger18555,2535461196978479,容州区沙河,,,,
猫喵,FineMender36428,2535443842773118,西湖新区永平,雨夜,,,
一杰,yijiehero,2535437923313915,,,,,
酷潮玩,AceVessel823598,2535410662905513,,,,,
八六,OkazakiUshi00,2535471416653181,容州区北沙,,,,
,Yut kio 233,2535459010554792,,,,,
薄片,TornDaisy076089,2535416205947816,,,,,
,RaspyTree524330,2535440962949338,,,,,
孤城,LaoDShenMS,2535421449852483,,,,,
Ryx,Ryxiater,2535407307621152,西湖新区延光,雨夜,,,
